"X","Comments4"
68,"thought the baby cry really"
69,"These watermelon guys would look weird after 20 years only using right arm"
70,"Ponen enmedio la imagen y a los lados imágenes k molestan visualmente ... lástima"
71,"Damn it, they REALLY had to put that spider infested trashbin clip, after smiling from a heartwarming video of the dog and his owner practicing football 😝"
72,"Why is that baby not in a life jacket?"
73,"Hey! Anyone know maybe where the glass water slide is ?"
74,"The guy on the bike should just give up on life"
75,"What was that a baby walrus?"
76,"So I also went viral once








In the future ....and yea it doesn't make any sense"
77,"Why do Asians take such pleasure in making children cry?"
78,"Omg pugs are so ugly!!!"
79,"I have to pry my cat's mouths open to take hairball ointment lol not really what is the name of the cat treats? Love the dog waterfall."
80,"I don't see how this could be the top viral video of the month with all those screaming and crying babies. It ruined my peaceful morning."
81,"As the man walks slow towards the dog crate. You here a baby crying. I say to myself well I would be crying to if you put me in a crate. He slowly walks around saying she does this every time I have a show. I'm thinking what a jerk. Then bends over so you can see in the crate: it's a Parrot. I LAUGHED for 10 minutes."
82,"What I learned from this is that Asians excel at everything except scooter riding."
83,"The only one I didn't like was the baby on the boat, put a life preserver on that kid!  He could easily fall over and by the time you get to him he's dead."
84,"All sucked none of these was funny get a life and a real job."
85,"0:35 - Don't play in the street! It's dangerous, little girl.
proceeds to be hit by parked car
Whatever."
86,"I love the Wolf Spider and all her little babies."
87,"Why were all the ""Tricking the babies to cry"" videos done by Chinese ?"
